id,misto,oblast,pop_2001,pop_2014,pop_2020
66,Калуш,Івано-Франківська область,67 902,67 559,66 140
67,Червоноград,Львівська область,70 568,67 993,65 871
68,Первомайськ,Миколаївська область,70 170,66 672,64 103
69,Довжанськ[14],Луганська область,72 531,64 895,63 184
70,Бориспіль,Київська область,53 975,60 160,63 169
71,Коростень,Житомирська область,66 669,65 454,62 833
72,Покровськ[15],Донецька область,69 154,64 533,61 770
73,Коломия,Івано-Франківська область,61 989,61 350,61 265
74,Ірпінь,Київська область,40 593,44 023,60 084
75,Стрий,Львівська область,62 479,59 835,59 730
76,Чорноморськ[16],Одеська область,54 151,59 840,58 934
77,Рубіжне,Луганська область,65 322,59 951,56 785
78,Харцизьк,Донецька область,64 175,58 641,56 551
79,Дружківка,Донецька область,64 557,59 596,55 984
80,Новоград-Волинський,Житомирська область,56 259,56 049,55 790
81,Лозова,Харківська область,64 041,57 916,54 618
82,Чистякове,Донецька область,72 346,56 993,53 945
83,Прилуки,Чернігівська область,64 861,58 202,53 395
84,Енергодар,Запорізька область,56 242,54 536,53 343
85,Антрацит,Луганська область,63 698,54 242,52 525
86,Нововолинськ,Волинська область,53 838,53 298,51 010
87,Горішні Плавні[17],Полтавська область,51 740,51 958,50 816
88,Білгород-Дністровський,Одеська область,51 890,50 105,48 674
89,Шахтарськ,Донецька область,59 589,50 468,48 547
90,Охтирка,Сумська область,50 399,48 881,47 603
91,Мирноград[18],Донецька область,54 787,49 519,47 460
92,Ізюм,Харківська область,56 114,51 175,46 653
93,Марганець,Дніпропетровська область,49 592,48 345,46 097
94,Сніжне,Донецька область,58 496,48 003,46 092
95,Ровеньки,Луганська область,53 725,47 370,45 752
96,Нова Каховка,Херсонська область,52 137,47 638,45 422
97,Фастів,Київська область,51 976,48 098,45 393
98,Брянка,Луганська область,54 767,46 830,45 148
99,Лубни,Полтавська область,52 572,47 397,45 032
100,Світловодськ,Кіровоградська область,50 094,46 372,44 466
101,Жовті Води,Дніпропетровська область,53 582,47 284,43 591
102,Сорокине[19],Луганська область,50 560,44 014,42 774
103,Вараш[20],Рівненська область,38 830,41 560,42 246
104,Вишневе,Київська область,34 465,38 011,41 820
105,Шепетівка,Хмельницька область,48 212,43 255,41 189
106,Подільськ[21],Одеська область,40 718,40 717,40 023
107,Южноукраїнськ,Миколаївська область,38 206,40 378,39 404
108,Миргород,Полтавська область,42 886,40 876,39 099
109,Ромни,Сумська область,50 448,41 951,38 947
110,Покров[22],Дніпропетровська область,44 834,41 152,38 570
111,Володимир[23],Волинська область,38 256,38 964,38 340
112,Джанкой,АР Крим,43 343,35 693,38 007*
113,Васильків,Київська область,39 722,36 888,37 507
114,Дубно,Рівненська область,39 146,38 087,37 464
115,Нетішин,Хмельницька область,34 358,36 844,36 746
116,Первомайськ,Луганська область,43 082,38 235,36 529
117,Буча[24],Київська область,28 533,29 805,36 284
118,Каховка,Херсонська область,38 238,37 316,35 795
119,Боярка,Київська область,35 968,35 558,35 376
120,Славута,Хмельницька область,34 340,35 892,35 230
121,Самбір,Львівська область,36 556,34 879,34 695
122,Старокостянтинів,Хмельницька область,35 206,35 104,34 455
123,Вознесенськ,Миколаївська область,42 634,36 192,34 404
124,Ясинувата,Донецька область,37 552,35 701,34 394
125,Жмеринка,Вінницька область,37 349,35 354,34 353
126,Обухів,Київська область,32 776,33 180,33 419
127,Борислав,Львівська область,38 122,34 877,33 186
128,Южне,Одеська область,23 977,31 796,32 724
129,Глухів,Сумська область,35 768,34 282,32 686
130,Авдіївка,Донецька область,37 210,35 090,32 436
131,Торецьк[25],Донецька область,43 371,34 750,32 027
132,Чугуїв,Харківська область,36 789,32 379,31 861
133,Новояворівськ[26],Львівська область,26 483,29 950,31 218
134,Костопіль,Рівненська область,30 467,31 668,31 215
135,Вишгород,Київська область,22 933,26 866,30 997
136,Токмак,Запорізька область,36 275,32 772,30 532
